aX,aY,aZ,gX,gY,gZ
-0.025,0.437,0.907,0.366,19.592,-30.029
-0.023,0.448,0.923,5.310,16.907,-28.687
-0.032,0.455,0.921,7.935,10.132,-28.748
-0.037,0.459,0.919,10.437,5.676,-28.259
-0.053,0.474,0.928,11.536,3.357,-27.161
-0.052,0.497,0.926,10.437,1.465,-25.879
-0.030,0.506,0.925,10.071,3.357,-24.597
-0.002,0.514,0.926,9.888,4.639,-24.902
0.013,0.517,0.920,9.338,5.615,-26.062
0.038,0.511,0.927,8.911,6.958,-28.809
0.045,0.486,0.925,8.301,6.897,-32.715
0.045,0.464,0.917,7.507,8.179,-35.461
0.061,0.435,0.917,7.324,11.841,-35.889
0.062,0.406,0.900,8.118,14.221,-35.034
0.084,0.394,0.879,10.315,15.076,-33.630
0.108,0.379,0.852,13.428,14.771,-32.654
0.114,0.375,0.835,16.296,11.597,-31.372
0.154,0.334,0.826,18.433,7.751,-29.968
0.171,0.297,0.816,19.897,4.639,-30.029
0.161,0.279,0.802,20.142,2.502,-31.006
0.146,0.272,0.796,18.372,1.038,-30.640
0.167,0.258,0.808,14.648,-1.160,-28.381
0.180,0.235,0.821,10.376,-4.639,-25.940
0.182,0.241,0.842,7.690,-7.263,-25.818
0.190,0.229,0.859,5.432,-9.033,-26.550
0.193,0.206,0.880,2.686,-10.193,-26.611
0.208,0.182,0.901,-0.977,-10.437,-25.757
0.207,0.188,0.920,-5.188,-10.254,-25.940
0.203,0.181,0.957,-8.057,-9.521,-26.733
0.198,0.154,0.965,-9.216,-8.850,-26.489
0.346,0.130,1.036,-9.460,-7.690,-25.085
0.153,0.143,0.949,-8.911,-16.968,-22.827
0.223,0.123,1.028,-3.906,-9.094,-23.193
0.227,0.120,0.986,0.854,4.150,-20.386
0.237,0.110,0.983,1.099,3.906,-19.409
0.214,0.112,0.974,0.916,-3.235,-17.822
0.213,0.097,0.979,1.526,-7.324,-17.212
0.217,0.073,0.987,4.089,-9.033,-17.273
0.217,0.063,0.984,5.310,-10.681,-17.395
0.218,0.039,0.978,3.601,-10.315,-18.066
0.211,0.030,0.980,-0.183,-6.287,-19.348
0.198,0.032,0.982,-4.944,-1.770,-20.508
0.195,0.032,0.981,-9.521,0.916,-20.691
0.199,0.035,0.979,-11.597,1.038,-18.677
0.203,0.039,0.980,-9.827,0.549,-15.564
0.217,0.036,0.989,-6.042,-1.343,-11.841
0.215,0.056,0.992,-2.686,-5.188,-9.033
0.220,0.071,0.994,0.488,-9.399,-6.836
0.216,0.085,0.995,3.357,-12.207,-5.798
0.209,0.104,0.988,5.127,-13.367,-5.920
0.201,0.108,0.983,4.700,-12.695,-6.531
0.191,0.101,0.975,3.052,-11.719,-7.324
0.192,0.092,0.971,0.122,-10.559,-8.118
