aX,aY,aZ,gX,gY,gZ
0.496,-0.837,0.700,3.845,-49.622,-16.541
0.459,-0.885,0.646,19.104,-39.246,-17.517
0.411,-0.928,0.570,32.227,-28.625,-18.677
0.379,-0.934,0.478,44.312,-17.944,-17.273
0.370,-0.932,0.396,56.946,-9.827,-15.381
0.352,-0.935,0.310,67.261,-3.052,-15.198
0.336,-0.940,0.207,74.890,5.554,-14.526
0.336,-0.944,0.102,81.909,14.648,-12.329
0.346,-0.927,-0.004,88.196,22.766,-9.338
0.376,-0.871,-0.125,92.712,28.687,-6.714
0.388,-0.875,-0.208,93.750,33.691,-6.836
0.400,-0.887,-0.302,89.050,40.466,-7.996
0.414,-0.878,-0.370,84.290,46.204,-7.080
0.432,-0.872,-0.413,80.017,47.546,-5.554
0.439,-0.865,-0.435,73.608,46.082,-4.639
0.439,-0.868,-0.439,66.162,42.664,-3.967
0.441,-0.857,-0.422,60.120,37.598,-2.991
0.449,-0.834,-0.385,55.542,31.799,-1.709
0.462,-0.825,-0.340,52.307,27.344,-0.793
0.468,-0.815,-0.309,51.331,25.146,-0.793
0.469,-0.803,-0.293,52.124,23.804,-1.343
0.474,-0.784,-0.270,52.856,23.926,-1.526
0.470,-0.766,-0.256,52.307,26.550,-1.709
0.464,-0.760,-0.254,51.453,31.494,-1.831
0.464,-0.747,-0.259,52.551,36.560,-0.854
0.474,-0.716,-0.267,55.420,39.063,-0.366
0.478,-0.708,-0.270,58.777,39.917,-1.587
0.471,-0.694,-0.287,62.744,40.405,-3.174
0.466,-0.679,-0.299,67.932,40.161,-4.456
0.459,-0.679,-0.316,73.059,41.077,-6.653
0.442,-0.682,-0.342,76.050,43.213,-8.423
0.428,-0.667,-0.374,77.271,45.898,-8.484
0.425,-0.651,-0.387,77.698,48.889,-7.690
0.417,-0.642,-0.395,77.393,52.917,-7.141
0.407,-0.619,-0.416,77.454,56.885,-7.324
0.403,-0.584,-0.435,80.139,59.326,-8.728
0.396,-0.575,-0.457,83.618,61.462,-11.597
0.376,-0.571,-0.508,86.914,64.453,-15.320
0.346,-0.569,-0.568,91.553,65.247,-18.005
0.330,-0.571,-0.624,94.971,63.538,-18.860
0.312,-0.574,-0.661,95.276,61.218,-18.127
0.286,-0.575,-0.687,91.858,60.059,-16.357
0.268,-0.561,-0.719,87.036,60.974,-13.306
0.269,-0.535,-0.743,84.290,62.012,-10.559
0.263,-0.510,-0.765,82.153,62.683,-10.376
0.251,-0.502,-0.810,80.322,63.538,-12.329
0.232,-0.516,-0.849,82.764,61.707,-14.648
0.228,-0.518,-0.892,86.548,56.519,-15.625
0.212,-0.535,-0.923,88.196,49.011,-15.503
0.197,-0.528,-0.946,85.144,41.870,-14.282
0.194,-0.530,-0.956,81.665,34.546,-12.268
0.207,-0.522,-0.947,79.834,26.611,-10.132
0.229,-0.484,-0.925,78.308,19.531,-8.545
0.224,-0.495,-0.888,75.134,17.212,-9.766
0.218,-0.510,-0.887,71.045,21.729,-11.292
0.227,-0.516,-0.891,70.068,26.550,-10.742
0.236,-0.500,-0.891,70.618,27.832,-9.216
0.240,-0.485,-0.897,69.092,28.748,-7.935
0.253,-0.488,-0.903,67.017,30.396,-7.202
0.252,-0.475,-0.923,66.895,28.198,-7.080
0.257,-0.452,-0.928,66.467,26.855,-7.507
0.245,-0.431,-0.920,63.477,27.039,-9.521
0.227,-0.433,-0.940,59.814,30.273,-9.155
0.216,-0.439,-0.964,58.167,32.410,-6.958
0.222,-0.433,-0.986,56.702,31.433,-5.554
0.229,-0.399,-0.991,54.321,27.405,-4.883
0.203,-0.401,-0.982,53.528,21.545,-5.981
0.223,-0.415,-0.959,53.833,21.912,-6.592
0.209,-0.414,-0.941,51.758,20.996,-8.545
0.195,-0.397,-0.944,50.476,20.142,-8.667
0.211,-0.394,-0.922,51.270,19.470,-7.507
0.212,-0.382,-0.919,51.880,17.639,-8.545
0.195,-0.368,-0.926,50.964,17.151,-10.010
0.179,-0.359,-0.937,50.537,19.897,-9.583
0.166,-0.348,-0.963,48.950,25.269,-8.972
0.153,-0.349,-0.995,46.204,30.823,-7.751
0.144,-0.345,-1.018,43.518,33.325,-5.920
0.137,-0.331,-1.040,41.382,32.471,-4.639
0.116,-0.330,-1.038,39.490,29.419,-4.150
0.113,-0.323,-1.054,36.926,26.917,-3.357
0.116,-0.318,-1.047,35.767,24.109,-3.418
0.117,-0.319,-1.029,36.072,20.081,-4.395
0.113,-0.323,-1.026,35.400,16.785,-5.188
0.108,-0.323,-1.021,35.156,14.771,-4.761
0.113,-0.321,-1.021,34.973,14.038,-4.089
0.107,-0.329,-1.021,33.752,14.648,-3.906
0.109,-0.327,-1.027,31.738,15.930,-3.784

-0.252,0.181,-2.235,-134.216,-10.315,-15.442
-0.261,0.133,-2.202,-155.334,-23.071,-6.836
-0.265,0.103,-2.137,-180.603,-29.358,-0.183
-0.254,0.055,-2.051,-204.224,-33.203,5.188
-0.253,0.052,-1.959,-219.604,-43.213,10.132
-0.209,0.015,-1.665,-226.685,-57.922,15.991
-0.263,0.050,-1.709,-227.051,-85.693,24.780
-0.243,0.022,-1.619,-229.248,-95.093,26.123
-0.249,0.001,-1.460,-242.676,-96.680,17.761
-0.264,-0.003,-1.306,-259.583,-96.985,15.625
-0.246,-0.081,-1.099,-271.301,-106.323,22.461
-0.213,-0.089,-0.888,-278.503,-122.742,32.532
-0.198,-0.094,-0.694,-281.616,-142.700,42.969
-0.244,-0.058,-0.485,-282.410,-164.490,55.908
-0.109,-0.154,-0.282,-280.151,-197.510,72.205
-0.114,-0.094,-0.081,-277.405,-213.135,70.435
-0.051,-0.107,0.136,-269.287,-203.613,67.444
0.010,-0.149,0.276,-264.954,-184.509,62.500
0.042,-0.181,0.418,-256.958,-160.400,56.946
0.098,-0.219,0.530,-242.737,-129.700,54.688
0.177,-0.256,0.606,-223.938,-101.807,55.725
0.266,-0.339,0.650,-204.285,-82.947,57.251
0.324,-0.396,0.666,-183.105,-73.486,57.922
0.377,-0.451,0.698,-163.086,-69.336,57.617
0.423,-0.502,0.727,-147.278,-68.420,54.199
0.483,-0.562,0.787,-133.667,-70.190,48.584
0.518,-0.582,0.838,-120.605,-74.463,42.847
0.565,-0.600,0.904,-102.722,-76.843,40.649
0.630,-0.641,0.980,-81.299,-75.012,39.429
0.688,-0.689,1.004,-57.861,-71.533,36.865
0.710,-0.711,1.038,-33.142,-63.843,31.006
